id,原始户名,调整后户名,企业/非企业,行业,行业代码,单位编号.1,地址,是否本地,街道/镇
138,兰溪市浩进纺织服饰有限公司,兰溪市浩进纺织服饰有限公司,企业,纺织业,17,791,兰溪市马涧镇集镇,,
139,武汉欣嘉利贸易有限公司,武汉欣嘉利贸易有限公司,企业,批发业,51,6287,武汉市江岸区汉黄路35号,,
140,浙江奥将实业有限公司,浙江奥将实业有限公司,企业,纺织服装、服饰业,18,1886,义乌市大陈镇奥将路8号,本地,大陈
141,义乌市永丰汽车销售有限公司,义乌市永丰汽车销售有限公司,企业,零售业,52,10620,义乌市机场路677号,本地,北苑
142,义乌市法兴锁业有限公司,义乌市法兴锁业有限公司,企业,金属制品业,33,4880,浙江省义乌市上溪镇义西工业园区,本地,上溪
143,义乌市一线天线业有限公司,义乌市一线天线业有限公司,企业,纺织业,17,792,浙江省义乌市义亭特色工业园区,本地,义亭
144,义乌市万雄服饰有限公司,义乌市万雄服饰有限公司,企业,纺织服装、服饰业,18,1887,义乌市大陈镇团结村,本地,大陈
145,义乌市远洋领带印花有限公司,义乌市远洋领带印花有限公司,企业,印刷和记录媒介复制业,23,3013,浙江省义乌市苏溪镇苏和路40号,本地,苏溪
146,义乌市划洪坑石料加工厂,义乌市划洪坑石料加工厂,企业,非金属矿物制品业,30,4779,义乌市赤岸镇南青口村（第二组337号）,本地,赤岸
147,义乌市航天油料有限公司,义乌市航天油料有限公司,企业,零售业,52,10621,浙江省义乌市杭金公路127K+40M处（机场路北侧曹道村）,本地,北苑
148,义乌市红绿蓝广告装璜公司,义乌市红绿蓝广告装璜公司,企业,商务服务业,72,13300,义乌市稠江街道江滨西路83号,本地,稠江
149,浙江茂源针织有限公司,浙江茂源针织有限公司,企业,纺织业,17,793,浙江省义乌市上溪镇（义乌市祥声工艺品有限公司内）,本地,上溪
150,义乌市力达彩印有限公司,义乌市力达彩印有限公司,企业,印刷和记录媒介复制业,23,3014,浙江省义乌市义亭镇姑塘工业功能区五联路161号,本地,义亭
151,义乌市佳田制衣有限公司,义乌市佳田制衣有限公司,企业,纺织服装、服饰业,18,1888,浙江省义乌市上溪镇溪田村,本地,上溪
152,浙江宝丽姿伞业有限公司,浙江宝丽姿伞业有限公司,企业,其他制造业,41,5310,浙江省义乌市北苑街道机场路633-1号,本地,北苑
153,义乌博凯无纺布有限公司,义乌博凯无纺布有限公司,企业,零售业,52,10622,义乌市上溪镇信达路65号附近公司,本地,上溪
154,义乌市义亭铜材福利厂,义乌市义亭铜材福利厂,企业,有色金属冶炼和压延加工业,32,4868,浙江省义乌市义亭镇相宜路73号,本地,义亭
155,浙江年年红实业有限公司,浙江年年红实业有限公司,企业,家具制造业,21,2831,浙江省义乌市稠江街道永贸路201号,本地,稠江
156,义乌市昌铃汽车销售服务有限公司,义乌市昌铃汽车销售服务有限公司,企业,零售业,52,10623,浙江省义乌市拥军路106-1号,本地,北苑
157,塔山建设集团有限公司,塔山建设集团有限公司,企业,土木工程建筑业,48,6033,浙江省义乌市义南工业园区,本地,佛堂
158,浙江丽美工艺品有限公司,浙江丽美工艺品有限公司,企业,文教、工美、体育和娱乐用品制造业,24,3369,浙江省义乌市城西特色工业小区,本地,城西
159,义乌市景湖伞业有限公司,义乌市景湖伞业有限公司,企业,其他制造业,41,5311,浙江省义乌市江东街道九联村,本地,江东
160,义乌市中远市政工程有限公司,义乌市中远市政工程有限公司,企业,公共设施管理业,78,14050,浙江省义乌市稠江街道总部经济园A8幢902室,本地,稠江
161,深圳市泰安德贸易有限公司,深圳市泰安德贸易有限公司,企业,批发业,51,6288,深圳市罗湖区黄贝街道新秀南区28栋603,,
162,义乌市兰晶化妆品有限公司,义乌市兰晶化妆品有限公司,企业,化学原料和化学制品制造业,26,4306,浙江省义乌市义亭镇同义路36号,本地,义亭
163,义乌市嘉庆日用品厂,义乌市嘉庆日用品厂,企业,橡胶和塑料制品业,29,4441,义乌市稠城镇柳青工业区稠山路215号,本地,稠城
164,深圳市明江顺进出口贸易有限公司,深圳市明江顺进出口贸易有限公司,企业,批发业,51,6289,深圳市宝安区沙井街道沙头工业区康民路118号第10间（办公场所）,,
165,义乌市望春毛纺厂,义乌市望春毛纺厂,企业,纺织业,17,794,浙江省义乌市苏溪镇金三角开发区,本地,苏溪
166,义乌市番茄花园饰品有限公司,义乌市番茄花园饰品有限公司,企业,文教、工美、体育和娱乐用品制造业,24,3370,浙江省义乌市北苑街道北苑工业园丹晨一路2号,本地,北苑
167,浙江莉莉安服饰有限公司,浙江莉莉安服饰有限公司,企业,纺织服装、服饰业,18,1889,浙江省义乌市义南工业园区,本地,佛堂
168,深圳市源宝顺贸易有限公司,深圳市源宝顺贸易有限公司,企业,商务服务业,72,13301,深圳市龙岗区布吉街道吉华路大坡头综合楼5楼A7,,
169,义乌市恒心出租车座套保洁服务有限公司,义乌市恒心出租车座套保洁服务有限公司,企业,居民服务业,80,14139,浙江省义乌市稠江街道戚继光路70、72号,本地,稠江
170,义乌市元发针织有限公司,义乌市元发针织有限公司,企业,纺织业,17,795,浙江省义乌市义南工业园区,本地,佛堂
171,义乌市万方金属制品有限公司,义乌市万方金属制品有限公司,企业,金属制品业,33,5312,浙江省义乌市西城路669号,本地,城区
172,义乌市中力工贸有限公司,义乌市中力工贸有限公司,企业,化学原料和化学制品制造业,26,4307,浙江省金华市义乌市稠城柳青工业区常青路5号,本地,稠城
173,义乌市豪都大酒店有限公司,义乌市豪都大酒店有限公司,企业,餐饮业,62,12699,浙江省义乌市稠城城北路201号北侧,本地,稠城
174,义乌市后宅涵有棉纺厂,义乌市后宅涵有棉纺厂,企业,纺织业,17,796,义乌市后宅街道俊塘村205号,本地,后宅
175,义乌市卓越彩印厂,义乌市卓越彩印厂,企业,印刷和记录媒介复制业,23,3015,浙江省义乌市义亭工业区,本地,义亭
176,义乌市供销进出口有限公司,义乌市供销进出口有限公司,企业,批发业,51,6290,城区,本地,城区
177,义乌市攀丰无纺布有限公司,义乌市攀丰无纺布有限公司,企业,纺织业,17,797,浙江省义乌市义亭镇黄林山工业区一期,本地,义亭
178,义乌市金亭房地产开发有限公司,义乌市金亭房地产开发有限公司,企业,房地产业,70,13070,义乌市义亭镇镇前街12号楼10-15号地块,本地,义亭
179,义乌市昇隆彩印有限公司,义乌市昇隆彩印有限公司,企业,印刷和记录媒介复制业,23,3016,浙江省义乌市苏溪镇车站村,本地,苏溪
180,义乌市仁舜饰品有限公司,义乌市仁舜饰品有限公司,企业,文教、工美、体育和娱乐用品制造业,24,3371,浙江省义乌经济技术开发区伏龙山路B9号,本地,城西
181,义乌市华柏思化妆品配件有限公司,义乌市华柏思化妆品配件有限公司,企业,批发业,51,6291,浙江省义乌市义亭镇五联路196号,本地,义亭
